"STDR_DE","EMD_ID","CNT","CNT_00H","CNT_01H","CNT_02H","CNT_03H","CNT_04H","CNT_05H","CNT_06H","CNT_07H","CNT_08H","CNT_09H","CNT_10H","CNT_11H","CNT_12H","CNT_13H","CNT_14H","CNT_15H","CNT_16H","CNT_17H","CNT_18H","CNT_19H","CNT_20H","CNT_21H","CNT_22H","CNT_23H"
"20240515","1113052","13228","12","2","0","2","53","285","303","433","686","1077","1059","1311","1422","1422","1063","793","753","699","551","330","350","295","241","86"
"20240515","1113064","7478","14","0","0","0","20","84","208","229","358","509","573","678","762","579","507","505","429","440","394","350","298","261","223","57"
"20240515","1113070","8607","25","5","1","6","22","146","200","298","430","593","653","702","688","668","678","584","571","526","456","323","362","295","261","114"
"20240515","1113071","3502","12","3","1","0","37","98","134","177","233","324","280","355","297","244","220","176","185","189","156","105","93","99","61","23"
"20240515","1123063","29767","86","19","8","19","59","229","439","471","726","923","1137","1493","1700","2166","2105","2414","2481","2494","2105","1844","1917","2214","2099","619"
"20240515","1123064","64734","380","110","106","77","200","645","1076","1067","1723","2461","3024","3911","4648","4756","4497","4830","4914","4884","4323","3926","4021","4177","3346","1632"
"20240515","1123066","12078","61","4","1","3","17","114","237","320","448","687","790","954","945","1010","926","809","992","845","692","589","564","561","381","128"
"20240515","1123068","3317","4","0","0","0","12","24","48","102","148","252","302","309","351","277","240","215","229","211","200","148","84","76","63","22"
"20240515","1123071","4974","3","4","4","2","2","32","90","145","219","328","463","510","569","490","376","291","337","287","264","149","139","124","100","46"
"20240515","1123072","9083","14","4","0","2","8","71","185","400","474","696","766","874","953","766","633","650","706","551","342","304","225","173","191","95"
"20240515","1123075","27249","85","10","3","4","18","214","392","692","1117","1452","2251","1805","2105","1964","1488","1996","1865","1956","1655","1392","1499","1373","1282","631"
"20240515","1123076","10130","22","12","0","0","43","141","308","406","628","860","965","1014","988","820","684","609","610","560","398","284","250","218","225","85"
"20240515","1101054","4759","14","3","0","0","2","16","30","52","92","146","207","309","389","493","522","462","418","377","380","305","250","180","80","32"
